Epoch,Loss,Train_Acc,Val_Acc,Test_Acc
1,1.9748,0.13,0.14,0.13
2,5.9747,0.16,0.19,0.09
3,3.3557,0.15,0.12,0.15
4,2.8741,0.1433,0.16,0.21
5,2.845,0.13,0.14,0.13
6,2.5916,0.13,0.14,0.13
7,2.1786,0.15,0.12,0.15
8,2.1805,0.15,0.12,0.15
9,2.1256,0.15,0.12,0.15
10,1.985,0.1433,0.12,0.14
11,1.9548,0.1267,0.09,0.13
12,1.9545,0.1267,0.09,0.13
13,1.9545,0.1267,0.09,0.13
14,1.9546,0.1267,0.09,0.13
15,1.9542,0.1267,0.09,0.13
16,1.954,0.1267,0.09,0.13
17,1.9538,0.1267,0.09,0.13
18,1.953,0.1267,0.09,0.13
19,1.9497,0.16,0.19,0.09
20,1.9488,0.16,0.19,0.09
21,1.9485,0.16,0.12,0.14
22,1.9469,0.1333,0.09,0.13
23,1.9468,0.15,0.12,0.15
24,1.9435,0.1633,0.09,0.15
25,1.9518,0.1467,0.13,0.15
26,1.9418,0.1467,0.13,0.15
27,1.9422,0.15,0.13,0.15
28,1.945,0.15,0.14,0.15
29,1.94,0.16,0.19,0.09
30,1.9427,0.16,0.19,0.09
31,1.945,0.1967,0.2,0.15
32,1.94,0.2,0.08,0.15
33,1.9396,0.16,0.19,0.09
34,1.9365,0.16,0.19,0.09
35,1.9434,0.16,0.19,0.09
36,1.9378,0.1767,0.11,0.13
37,1.9368,0.15,0.13,0.13
38,1.9308,0.1433,0.12,0.13
39,1.9452,0.1533,0.11,0.13
40,1.988,0.1433,0.18,0.21
41,1.945,0.1567,0.12,0.17
42,1.9463,0.1467,0.17,0.21
43,1.948,0.1467,0.16,0.21
44,1.9466,0.1467,0.16,0.21
45,1.9456,0.1467,0.16,0.21
46,1.9441,0.1467,0.16,0.21
47,1.9437,0.17,0.14,0.21
48,1.9457,0.15,0.12,0.15
49,1.943,0.15,0.14,0.13
50,1.9386,0.1433,0.08,0.17
